id,accession,locator,site,type,author,date,format,size,description,notes,issues
93,,,SalemAve,letter,"Wickham, H.",07/23/1886,paper,8x10-1/2,"Letter from H. Wickham to Frederick J. Kimball, N&W President",Letter from the president of the Southwest Virginia Improvement Company negotiating contract terms for shipping rates and coal car allotment for the Pocahontas Coal & Coke Company,
94,,,SalemAve,letter,"Wickham, H.",07/21/1886,paper,8x10-1/2,"Letter from H. Wickham to Frederick J. Kimball, N&W President",Letter from the president of the Southwest Virginia Improvement Company negotiating contract terms for shipping rates and coal car allotment for the Pocahontas Coal & Coke Company,
95,,,SalemAve,letter,"Wickham, H.",02/05/1886,paper,8x10-1/2,"Letter from H. Wickham to Frederick J. Kimball, N&W President",Letter from the president of the Southwest Virginia Improvement Company negotiating market share in and coal shipment rates to the Tidewater region,
96,,,SalemAve,letter,"Wickham, H.",07/23/1885,paper,8x10-1/2,"Letter from H. Wickham to Frederick J. Kimball, N&W President",Letter from the president of the Southwest Virginia Improvement Company expressing scorn over competitor pricing for coal shipments,
97,,,SalemAve,letter,"Wickham, H.",07/09/1885,paper,8x10-1/2,"Letter from H. Wickham to Frederick J. Kimball, N&W President",Letter from the president of the Southwest Virginia Improvement Company discussing contract negotiations ,
98,,,SalemAve,letter,"Wickham, H.",07/17/1885,paper,8x10-1/2,"Letter from H. Wickham to Frederick J. Kimball, N&W President",Letter from the president of the Southwest Virginia Improvement Company requesting a rail pass for the company board's secretary and treasurer ,
99,,,SalemAve,letter,"Wickham, H.",07/07/1885,paper,8x10-1/2,"Letter from H. Wickham to Frederick J. Kimball, N&W President",Letter from the president of the Southwest Virginia Improvement Company discussing dredging at Lambert's Point Pier,
100,,,SalemAve,letter,"Wickham, H.",07/10/1885,paper,8x10-1/2,"Letter from H. Wickham to Frederick J. Kimball, N&W President",Letter from the president of the Southwest Virginia Improvement Company discussing coal shipping rates and competitor pricing,
101,,,SalemAve,letter,"Wickham, H.",06/24/1885,paper,8x10-1/2,"Letter from H. Wickham to Frederick J. Kimball, N&W President",Letter from the president of the Southwest Virginia Improvement Company thanking Frederick Kimball for extending a favorable coal contract,
102,,,SalemAve,letter,"Wickham, H.",06/23/1885,paper,8x10-1/2,"Letter from H. Wickham to Frederick J. Kimball, N&W President",Letter from the president of the Southwest Virginia Improvement Company negotiating coal shipment rates,
103,,,SalemAve,letter,"Wickham, H.",06/09/1885,paper,8x10-1/2,"Letter from H. Wickham to Frederick J. Kimball, N&W President",Letter from the president of the Southwest Virginia Improvement Company negotiating contract terms for coal shipping rates ,
104,,,SalemAve,letter,"Wickham, H.",06/06/1885,paper,8x10-1/2,"Letter from H. Wickham to Frederick J. Kimball, N&W President",Letter from the president of the Southwest Virginia Improvement Company notfying Frederick Kimball of the amount of coal delivered to the N&W Railroad,
105,,,SalemAve,letter,"Wickham, H.",05/21/1885,paper,8x10-1/2,"Letter from H. Wickham to Frederick J. Kimball, N&W President",Letter from the president of the Southwest Virginia Improvement Company addressing accusations of poor coal quality in relation to the arson of a pile of coal on Pocahontas Coal & Coke Company property,
106,,,SalemAve,letter,"Wickham, H.",05/14/1885,paper,8x10-1/2,"Letter from H. Wickham to Frederick J. Kimball, N&W President",Letter from the president of the Southwest Virginia Improvement Company updating Frederick Kimball on matters pertaining to the company's board of directors,
107,,,SalemAve,letter,"Wickham, H.",05/13/1885,paper,8x10-1/2,"Letter from H. Wickham to Frederick J. Kimball, N&W President","Letter from the president of the Southwest Virginia Improvement Company informing Frederick Kimball of a property dispute along the Simmons Creek branch in Mercer County, West Virginia, and requesting the railroad halt construction of siding",
108,,,SalemAve,letter,"Wickham, H.",05/14/1885,paper,8x10-1/2,"Letter from H. Wickham to Frederick J. Kimball, N&W President","Letter from the president of the Southwest Virginia Improvement Company following up on a message of the previous day regarding a property dispute along the Simmons Creek branch in Mercer County, West Virginia",
109,,,SalemAve,letter,"Wickham, H.",05/13/1885,paper,8x10-1/2,"Letter from H. Wickham to Frederick J. Kimball, N&W President",Letter from the president of the Southwest Virginia Improvement Company discussing coal rates in relation to the C&O Railway,
110,,,SalemAve,letter,"Wickham, H.",05/12/1885,paper,8x10-1/2,"Letter from H. Wickham to Frederick J. Kimball, N&W President",Letter from the president of the Southwest Virginia Improvement Company negotiating coal shipment rates and car allotment ,
